,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
0,1,WSH,,T.J. Oshie , Nicklas Backstrom,Matt Niskanen,1,00:00:24,00:00:24,WSH,2018-10-03,1,1,24.0,WSH,1.0,0.0,Go-Ahead Goal
1,1,WSH,PP,Evgeny Kuznetsov ,,,1,00:01:47,00:01:47,WSH,2018-10-03,2,2,107.0,WSH,2.0,0.0,Insurance Goal
2,2,WSH,PP,Alex Ovechkin , Nicklas Backstrom,T.J. Oshie,1,00:24:17,00:04:17,WSH,2018-10-03,3,3,1457.0,WSH,3.0,0.0,Insurance Goal
3,2,WSH,,Nic Dowd , Nathan Walker,Devante Smith-Pelly,1,00:26:13,00:06:13,WSH,2018-10-03,4,4,1573.0,WSH,4.0,0.0,Insurance Goal
4,2,WSH,PP,Evgeny Kuznetsov , John Carlson,Braden Holtby,2,00:27:28,00:07:28,WSH,2018-10-03,5,5,1648.0,WSH,5.0,0.0,Insurance Goal
5,2,WSH,PP,John Carlson , Alex Ovechkin,Nicklas Backstrom,1,00:35:45,00:15:45,WSH,2018-10-03,6,6,2145.0,WSH,6.0,0.0,Insurance Goal
6,3,WSH,,Lars Eller , Chandler Stephenson,Brooks Orpik,1,00:50:52,00:10:52,WSH,2018-10-03,7,7,3052.0,WSH,7.0,0.0,Insurance Goal
7,1,BOS,,Zdeno Chara , Brad Marchand,Charlie McAvoy,1,00:06:33,00:06:33,BUF,2018-10-04,1,1,393.0,BOS,0.0,1.0,Go-Ahead Goal
8,1,BOS,PP,Ryan Donato , Brad Marchand,Patrice Bergeron,1,00:15:34,00:15:34,BUF,2018-10-04,2,2,934.0,BOS,0.0,2.0,Insurance Goal
9,2,BOS,,David Pastrnak , David Krejci,Brad Marchand,1,00:36:16,00:16:16,BUF,2018-10-04,3,3,2176.0,BOS,0.0,3.0,Insurance Goal
10,3,BOS,SHEN,Patrice Bergeron , Brad Marchand,,1,00:59:48,00:19:48,BUF,2018-10-04,4,4,3588.0,BOS,0.0,4.0,Insurance Goal
