,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact,Season
0,1,BOS,PP,David Pastrnak , Charlie McAvoy,David Krejci,1,00:08:37,00:08:37,BOS,2017-10-05,1,1,517.0,BOS,1.0,0.0,Go-Ahead Goal,2018
1,1,NSH,,Viktor Arvidsson , Ryan Johansen,,1,00:19:49,00:19:49,BOS,2017-10-05,2,1,1189.0,BOS,1.0,1.0,Tie,2018
2,2,BOS,,Jake Debrusk , David Krejci,Anders Bjork,1,00:25:48,00:05:48,BOS,2017-10-05,3,2,1548.0,BOS,2.0,1.0,Go-Ahead Goal,2018
3,2,BOS,,Charlie McAvoy , David Krejci,Jake Debrusk,1,00:35:43,00:15:43,BOS,2017-10-05,4,3,2143.0,BOS,3.0,1.0,Insurance Goal,2018
4,3,BOS,SHEN,Brad Marchand , Brandon Carlo,,1,00:57:07,00:17:07,BOS,2017-10-05,5,4,3427.0,BOS,4.0,1.0,Insurance Goal,2018
5,3,NSH,PP,Scott Hartnell , Ryan Johansen,Viktor Arvidsson,1,00:58:12,00:18:12,BOS,2017-10-05,6,2,3492.0,BOS,4.0,2.0,Lead Shrink,2018
6,3,NSH,PP,Filip Forsberg , Calle Jarnkrok,P.K. Subban,1,00:59:25,00:19:25,BOS,2017-10-05,7,3,3565.0,BOS,4.0,3.0,Go-Ahead Goal,2018
7,1,PIT,,Evgeni Malkin , Phil Kessel,Carl Hagelin,1,00:01:06,00:01:06,PIT,2017-10-07,1,1,66.0,PIT,1.0,0.0,Go-Ahead Goal,2018
8,1,PIT,,Jake Guentzel , Bryan Rust,Sidney Crosby,1,00:10:57,00:10:57,PIT,2017-10-07,2,2,657.0,PIT,2.0,0.0,Insurance Goal,2018
9,2,PIT,,Ryan Reaves , Olli Maatta,Carter Rowney,1,00:32:52,00:12:52,PIT,2017-10-07,3,3,1972.0,PIT,3.0,0.0,Insurance Goal,2018
10,3,PIT,,Olli Maatta , Sidney Crosby,Bryan Rust,2,00:40:33,00:00:33,PIT,2017-10-07,4,4,2433.0,PIT,4.0,0.0,Insurance Goal,2018
11,1,NSH,PP,Craig Smith , Kevin Fiala,Mattias Ekholm,1,00:04:17,00:04:17,NSH,2017-10-10,1,1,257.0,NSH,1.0,0.0,Go-Ahead Goal,2018
12,2,NSH,,Scott Hartnell , Pontus Aberg,,2,00:23:08,00:03:08,NSH,2017-10-10,2,2,1388.0,NSH,2.0,0.0,Insurance Goal,2018
