,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
0,2,NSH,,Filip Forsberg , Kyle Turris,Craig Smith,1,00:23:54,00:03:54,NYR,2018-10-04,1,1,1434.0,NSH,0.0,1.0,Go-Ahead Goal
1,2,NYR,,Jesper Fast , Filip Chytil,,1,00:27:37,00:07:37,NYR,2018-10-04,2,1,1657.0,NSH,1.0,1.0,Tie
2,3,NSH,,P.K. Subban , Mattias Ekholm,Colton Sissons,1,00:43:28,00:03:28,NYR,2018-10-04,3,2,2608.0,NSH,1.0,2.0,Go-Ahead Goal
3,3,NSH,EN,Colton Sissons , Ryan Ellis,Mattias Ekholm,1,00:58:36,00:18:36,NYR,2018-10-04,4,3,3516.0,NSH,1.0,3.0,Insurance Goal
4,3,NYR,,Pavel Buchnevich , Mika Zibanejad,Mats Zuccarello,1,00:59:25,00:19:25,NYR,2018-10-04,5,2,3565.0,NSH,2.0,3.0,Go-Ahead Goal
5,1,NSH,,Viktor Arvidsson , Filip Forsberg,P.K. Subban,1,00:03:42,00:03:42,NYI,2018-10-06,1,1,222.0,NSH,0.0,1.0,Go-Ahead Goal
6,1,NYI,,Mathew Barzal , Josh Bailey,,1,00:12:01,00:12:01,NYI,2018-10-06,2,1,721.0,NSH,1.0,1.0,Tie
7,1,NSH,,Mattias Ekholm , P.K. Subban,Ryan Hartman,1,00:16:56,00:16:56,NYI,2018-10-06,3,2,1016.0,NSH,1.0,2.0,Go-Ahead Goal
8,2,NYI,,Valtteri Filppula , Tanner Fritz,Luca Sbisa,2,00:22:46,00:02:46,NYI,2018-10-06,4,2,1366.0,NSH,2.0,2.0,Tie
9,2,NSH,,Craig Smith , Kyle Turris,Ryan Ellis,1,00:33:30,00:13:30,NYI,2018-10-06,5,3,2010.0,NSH,2.0,3.0,Go-Ahead Goal
10,2,NSH,,Viktor Arvidsson , Ryan Johansen,Anthony Bitetto,2,00:36:42,00:16:42,NYI,2018-10-06,6,4,2202.0,NSH,2.0,4.0,Insurance Goal
11,2,NYI,PP,Anders Lee , Josh Bailey,Mathew Barzal,1,00:39:31,00:19:31,NYI,2018-10-06,7,3,2371.0,NSH,3.0,4.0,Go-Ahead Goal
12,1,CGY,PP,Elias Lindholm , Johnny Gaudreau,,3,00:16:11,00:16:11,NSH,2018-10-09,1,1,971.0,CGY,0.0,1.0,Go-Ahead Goal
