,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact,Season
0,1,EDM,,Connor McDavid , Leon Draisaitl,Pat Maroon,1,00:11:01,00:11:01,EDM,2017-10-04,1,1,661.0,EDM,1.0,0.0,Go-Ahead Goal,2018
1,3,EDM,,Connor McDavid ,,,2,00:48:07,00:08:07,EDM,2017-10-04,2,2,2887.0,EDM,2.0,0.0,Insurance Goal,2018
2,3,EDM,EN,Connor McDavid , Leon Draisaitl,Milan Lucic,3,00:59:01,00:19:01,EDM,2017-10-04,3,3,3541.0,EDM,3.0,0.0,Insurance Goal,2018
3,1,WPG,SH,Brandon Tanev ,,,1,00:08:35,00:08:35,CGY,2017-10-07,1,1,515.0,CGY,0.0,1.0,Go-Ahead Goal,2018
4,1,CGY,PP,T.J. Brodie , Johnny Gaudreau,Kris Versteeg,1,00:10:08,00:10:08,CGY,2017-10-07,2,1,608.0,CGY,1.0,1.0,Tie,2018
5,1,WPG,PP,Mark Scheifele , Blake Wheeler,Mathieu Perreault,2,00:12:12,00:12:12,CGY,2017-10-07,3,2,732.0,CGY,1.0,2.0,Go-Ahead Goal,2018
6,1,WPG,,Patrik Laine , Mathieu Perreault,Josh Morrissey,1,00:15:54,00:15:54,CGY,2017-10-07,4,3,954.0,CGY,1.0,3.0,Insurance Goal,2018
7,2,CGY,,T.J. Brodie , Michael Stone,Johnny Gaudreau,2,00:28:42,00:08:42,CGY,2017-10-07,5,2,1722.0,CGY,2.0,3.0,Go-Ahead Goal,2018
8,2,CGY,PP,Micheal Ferland , Mark Giordano,Johnny Gaudreau,1,00:32:42,00:12:42,CGY,2017-10-07,6,3,1962.0,CGY,3.0,3.0,Tie,2018
9,2,CGY,,Johnny Gaudreau , T.J. Brodie,Curtis Lazar,1,00:37:02,00:17:02,CGY,2017-10-07,7,4,2222.0,CGY,4.0,3.0,Go-Ahead Goal,2018
10,2,CGY,,Kris Versteeg , Sean Monahan,T.J. Brodie,1,00:38:38,00:18:38,CGY,2017-10-07,8,5,2318.0,CGY,5.0,3.0,Insurance Goal,2018
11,3,CGY,,Mikael Backlund , Dougie Hamilton,Matthew Tkachuk,1,00:40:16,00:00:16,CGY,2017-10-07,9,6,2416.0,CGY,6.0,3.0,Insurance Goal,2018
12,2,CGY,PP,Sean Monahan , Kris Versteeg,Johnny Gaudreau,1,00:36:27,00:16:27,ANA,2017-10-09,1,1,2187.0,CGY,0.0,1.0,Go-Ahead Goal,2018
13,3,CGY,,Mikael Backlund , Michael Frolik,Matthew Tkachuk,2,00:46:19,00:06:19,ANA,2017-10-09,2,2,2779.0,CGY,0.0,2.0,Insurance Goal,2018
14,1,CGY,PP,Matthew Tkachuk , Mikael Backlund,Mark Giordano,1,00:03:56,00:03:56,LAK,2017-10-11,1,1,236.0,CGY,0.0,1.0,Go-Ahead Goal,2018
15,1,CGY,,Michael Frolik , Johnny Gaudreau,Sean Monahan,1,00:07:47,00:07:47,LAK,2017-10-11,2,2,467.0,CGY,0.0,2.0,Insurance Goal,2018
16,2,LAK,,Anze Kopitar , Jake Muzzin,Dustin Brown,3,00:35:44,00:15:44,LAK,2017-10-11,3,1,2144.0,CGY,1.0,2.0,Go-Ahead Goal,2018
17,3,LAK,,Dustin Brown , Drew Doughty,Alex Iafallo,2,00:40:14,00:00:14,LAK,2017-10-11,4,2,2414.0,CGY,2.0,2.0,Tie,2018
18,3,LAK,,Dustin Brown , Derek Forbort,Anze Kopitar,3,00:41:58,00:01:58,LAK,2017-10-11,5,3,2518.0,CGY,3.0,2.0,Go-Ahead Goal,2018
19,3,CGY,,Matthew Tkachuk , Dougie Hamilton,Michael Frolik,2,00:50:59,00:10:59,LAK,2017-10-11,6,3,3059.0,CGY,3.0,3.0,Tie,2018
20,1,CGY,,Sean Monahan , T.J. Brodie,Johnny Gaudreau,2,00:01:02,00:01:02,LAK,2017-10-11,7,4,62.0,CGY,3.0,4.0,Go-Ahead Goal,2018
21,1,OTT,,Cody Ceci , Tom Pyatt,Nate Thompson,2,00:19:15,00:19:15,CGY,2017-10-13,1,1,1155.0,OTT,0.0,1.0,Go-Ahead Goal,2018
22,2,OTT,,Derick Brassard , Mark Stone,Bobby Ryan,2,00:38:43,00:18:43,CGY,2017-10-13,2,2,2323.0,OTT,0.0,2.0,Insurance Goal,2018
23,3,OTT,PP,Mike Hoffman , Cody Ceci,Kyle Turris,1,00:41:08,00:01:08,CGY,2017-10-13,3,3,2468.0,OTT,0.0,3.0,Insurance Goal,2018
24,3,OTT,,Mark Stone , Mark Borowiecki,Derick Brassard,3,00:45:18,00:05:18,CGY,2017-10-13,4,4,2718.0,OTT,0.0,4.0,Insurance Goal,2018
25,3,OTT,,Ryan Dzingel , Thomas Chabot,Kyle Turris,2,00:47:29,00:07:29,CGY,2017-10-13,5,5,2849.0,OTT,0.0,5.0,Insurance Goal,2018
26,3,OTT,PP,Chris Wideman , Kyle Turris,Zack Smith,2,00:56:23,00:16:23,CGY,2017-10-13,6,6,3383.0,OTT,0.0,6.0,Insurance Goal,2018
27,1,CGY,SH,Mark Giordano , Freddie Hamilton,Troy Brouwer,1,00:11:37,00:11:37,VAN,2017-10-14,1,1,697.0,CGY,0.0,1.0,Go-Ahead Goal,2018
