,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
0,1,VAN,,Elias Pettersson , Loui Eriksson,Nikolay Goldobin,1,00:13:48,00:13:48,VAN,2018-10-03,1,1,828.0,VAN,1.0,0.0,Go-Ahead Goal
1,3,VAN,,Nikolay Goldobin , Elias Pettersson,Loui Eriksson,1,00:41:52,00:01:52,VAN,2018-10-03,2,2,2512.0,VAN,2.0,0.0,Insurance Goal
2,3,VAN,,Brendan Leipsic , Jay Beagle,Erik Gudbranson,1,00:42:20,00:02:20,VAN,2018-10-03,3,3,2540.0,VAN,3.0,0.0,Insurance Goal
3,3,CGY,,Matthew Tkachuk , Austin Czarnik,Noah Hanifin,1,00:43:08,00:03:08,VAN,2018-10-03,4,1,2588.0,VAN,3.0,1.0,Lead Shrink
4,3,VAN,,Jake Virtanen , Brandon Sutter,Chris Tanev,1,00:45:46,00:05:46,VAN,2018-10-03,5,4,2746.0,VAN,4.0,1.0,Insurance Goal
5,3,CGY,,Sean Monahan , Johnny Gaudreau,James Neal,1,00:48:08,00:08:08,VAN,2018-10-03,6,2,2888.0,VAN,4.0,2.0,Lead Shrink
6,3,VAN,EN,Tyler Motte , Markus Granlund,,1,00:59:12,00:19:12,VAN,2018-10-03,7,5,3552.0,VAN,5.0,2.0,Insurance Goal
7,1,CGY,,Elias Lindholm , T.J. Brodie,Mark Giordano,1,00:00:12,00:00:12,CGY,2018-10-06,1,1,12.0,CGY,1.0,0.0,Go-Ahead Goal
8,1,VAN,,Elias Pettersson , Nikolay Goldobin,Loui Eriksson,2,00:13:15,00:13:15,CGY,2018-10-06,2,1,795.0,CGY,1.0,1.0,Tie
9,1,VAN,SH,Brandon Sutter ,,,1,00:16:38,00:16:38,CGY,2018-10-06,3,2,998.0,CGY,1.0,2.0,Go-Ahead Goal
10,1,CGY,,Mark Giordano , T.J. Brodie,Elias Lindholm,1,00:17:08,00:17:08,CGY,2018-10-06,4,2,1028.0,CGY,2.0,2.0,Tie
11,2,VAN,PP,Elias Pettersson , Alexander Edler,Bo Horvat,3,00:22:52,00:02:52,CGY,2018-10-06,5,3,1372.0,CGY,2.0,3.0,Go-Ahead Goal
12,2,CGY,PP,Johnny Gaudreau , Sean Monahan,Matthew Tkachuk,1,00:29:31,00:09:31,CGY,2018-10-06,6,3,1771.0,CGY,3.0,3.0,Tie
13,2,VAN,PP,Bo Horvat , Elias Pettersson,Alexander Edler,1,00:36:58,00:16:58,CGY,2018-10-06,7,4,2218.0,CGY,3.0,4.0,Go-Ahead Goal
14,3,CGY,PP,Sean Monahan , Johnny Gaudreau,Matthew Tkachuk,2,00:49:27,00:09:27,CGY,2018-10-06,8,4,2967.0,CGY,4.0,4.0,Tie
15,3,CGY,PP,Elias Lindholm , Johnny Gaudreau,Matthew Tkachuk,2,00:54:28,00:14:28,CGY,2018-10-06,9,5,3268.0,CGY,5.0,4.0,Go-Ahead Goal
16,3,CGY,EN,Austin Czarnik , Mark Giordano,Matthew Tkachuk,1,00:58:22,00:18:22,CGY,2018-10-06,10,6,3502.0,CGY,6.0,4.0,Insurance Goal
17,3,CGY,SHEN,Michael Frolik ,,,1,00:59:24,00:19:24,CGY,2018-10-06,11,7,3564.0,CGY,7.0,4.0,Insurance Goal
18,1,CGY,PP,Elias Lindholm , Johnny Gaudreau,,3,00:16:11,00:16:11,NSH,2018-10-09,1,1,971.0,CGY,0.0,1.0,Go-Ahead Goal
19,2,CGY,PP,Sean Monahan , Matthew Tkachuk,Johnny Gaudreau,3,00:25:22,00:05:22,NSH,2018-10-09,2,2,1522.0,CGY,0.0,2.0,Insurance Goal
20,3,CGY,,Sean Monahan , Johnny Gaudreau,T.J. Brodie,4,00:40:33,00:00:33,NSH,2018-10-09,3,3,2433.0,CGY,0.0,3.0,Insurance Goal
21,1,CGY,,James Neal , Sam Bennett,Dillon Dube,1,00:07:32,00:07:32,STL,2018-10-11,1,1,452.0,STL,0.0,1.0,Go-Ahead Goal
22,1,STL,,Alex Steen , Jordan Kyrou,Jay Bouwmeester,1,00:07:44,00:07:44,STL,2018-10-11,2,1,464.0,STL,1.0,1.0,Tie
23,1,STL,,David Perron , Brayden Schenn,,1,00:09:48,00:09:48,STL,2018-10-11,3,2,588.0,STL,2.0,1.0,Go-Ahead Goal
24,1,STL,,Joel Edmundson , Ivan Barbashev,Robert Thomas,1,00:17:22,00:17:22,STL,2018-10-11,4,3,1042.0,STL,3.0,1.0,Insurance Goal
25,2,STL,PP,David Perron , Brayden Schenn,Alex Steen,2,00:24:05,00:04:05,STL,2018-10-11,5,4,1445.0,STL,4.0,1.0,Insurance Goal
26,2,STL,PP,David Perron , Brayden Schenn,Jaden Schwartz,3,00:39:24,00:19:24,STL,2018-10-11,6,5,2364.0,STL,5.0,1.0,Insurance Goal
27,3,CGY,,Derek Ryan , Austin Czarnik,Matthew Tkachuk,1,00:48:17,00:08:17,STL,2018-10-11,7,2,2897.0,STL,5.0,2.0,Lead Shrink
28,3,CGY,,Mikael Backlund , Mark Giordano,Elias Lindholm,1,00:51:04,00:11:04,STL,2018-10-11,8,3,3064.0,STL,5.0,3.0,Lead Shrink
29,1,COL,,Nathan MacKinnon , Mikko Rantanen,Gabriel Landeskog,6,00:00:11,00:00:11,COL,2018-10-13,1,1,11.0,CGY,1.0,0.0,Go-Ahead Goal
30,1,COL,,J.T. Compher , Tyson Barrie,Ian Cole,3,00:02:40,00:02:40,COL,2018-10-13,2,2,160.0,CGY,2.0,0.0,Insurance Goal
31,2,CGY,,Sam Bennett , Mikael Backlund,Michael Stone,1,00:30:52,00:10:52,COL,2018-10-13,3,1,1852.0,CGY,2.0,1.0,Go-Ahead Goal
32,3,CGY,,Elias Lindholm ,,,4,00:58:06,00:18:06,COL,2018-10-13,4,2,3486.0,CGY,2.0,2.0,Tie
33,OT1,CGY,,Johnny Gaudreau , Sean Monahan,T.J. Brodie,2,01:00:46,00:00:46,COL,2018-10-13,5,3,3646.0,CGY,2.0,3.0,Go-Ahead Goal
34,1,CGY,,Michael Frolik , Mikael Backlund,Matthew Tkachuk,2,00:05:34,00:05:34,CGY,2018-10-17,1,1,334.0,CGY,1.0,0.0,Go-Ahead Goal
35,1,CGY,,Johnny Gaudreau , Sean Monahan,Noah Hanifin,3,00:15:20,00:15:20,CGY,2018-10-17,2,2,920.0,CGY,2.0,0.0,Insurance Goal
36,1,CGY,,Juuso Valimaki , Michael Stone,Mark Jankowski,1,00:16:08,00:16:08,CGY,2018-10-17,3,3,968.0,CGY,3.0,0.0,Insurance Goal
37,2,BOS,,Patrice Bergeron , David Krejci,,6,00:22:40,00:02:40,CGY,2018-10-17,4,1,1360.0,CGY,3.0,1.0,Lead Shrink
38,2,CGY,,Michael Frolik , Mikael Backlund,,3,00:23:32,00:03:32,CGY,2018-10-17,5,4,1412.0,CGY,4.0,1.0,Insurance Goal
39,2,BOS,,Brad Marchand , Patrice Bergeron,David Pastrnak,2,00:33:45,00:13:45,CGY,2018-10-17,6,2,2025.0,CGY,4.0,2.0,Lead Shrink
40,3,CGY,EN,Matthew Tkachuk , Michael Stone,,2,00:59:09,00:19:09,CGY,2018-10-17,7,5,3549.0,CGY,5.0,2.0,Insurance Goal
41,1,NSH,,Ryan Johansen , Filip Forsberg,Ryan Ellis,2,00:00:51,00:00:51,CGY,2018-10-19,1,1,51.0,NSH,0.0,1.0,Go-Ahead Goal
42,1,CGY,,Elias Lindholm , Johnny Gaudreau,Mark Giordano,5,00:18:43,00:18:43,CGY,2018-10-19,2,1,1123.0,NSH,1.0,1.0,Tie
